TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,4.57455,2.0,Rej_13,1,21,F,2.01679,6.59134,7.61264
2,30,11,11,4,1.0,1.0,3.20275,2.0,Rej_13,1,21,F,13.6421,16.8448,17.8616
3,30,12,38,4,1.0,2.0,3.50514,2.0,Rej_13,1,21,F,21.8922,25.3973,26.4103
4,35,12,76,6,1.0,3.0,5.83914,1.0,Rej_13,1,21,F,30.428,36.2671,37.2853
5,25,16,113,5,1.0,4.0,3.41921,1.0,Rej_13,1,21,F,43.3177,46.7369,47.7528
6,25,16,70,6,1.0,5.0,4.85511,2.0,Rej_13,1,21,F,52.7679,57.623,58.6414
7,30,18,67,4,1.0,6.0,3.50516,1.0,Rej_13,1,21,F,64.6714,68.1766,69.1888
8,25,19,20,4,1.0,7.0,4.75211,2.0,Rej_13,1,21,F,73.2107,77.9628,78.9854
9,30,21,171,4,1.0,8.0,1.60338,1.0,Rej_13,1,21,F,83.0109,84.6143,85.6309
10,35,25,4,5,1.0,9.0,2.13757,2.0,Rej_13,1,21,F,89.6454,91.783,92.8088
11,35,30,3,4,1.0,10.0,1.91781,2.0,Rej_13,1,21,F,97.8347,99.7525,100.765
12,35,32,59,4,1.0,11.0,2.71775,1.0,Rej_13,1,21,F,104.787,107.505,108.518
13,35,30,42,5,1.0,12.0,3.02168,1.0,Rej_13,1,21,F,112.535,115.557,116.583
14,30,15,158,6,1.0,13.0,3.20472,1.0,Rej_13,1,21,F,121.605,124.81,125.835
15,35,31,129,4,1.0,14.0,2.10482,1.0,Rej_13,1,21,F,131.858,133.963,134.977
16,35,13,27,4,1.0,15.0,3.06764,2.0,Rej_13,1,21,F,138.997,142.065,143.089
17,25,17,9,4,1.0,16.0,2.36756,2.0,Rej_13,1,21,F,147.116,149.484,150.499
