TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,15.8519,2.0,16,1,19,1,2.02196,17.8739,18.8897
2,30,11,11,4,1.0,1.0,7.3522,1.0,16,1,19,1,24.9091,32.2613,33.2772
3,30,12,38,4,1.0,2.0,7.33537,1.0,16,1,19,1,37.2957,44.6311,45.6476
4,35,12,76,6,1.0,3.0,5.9184,1.0,16,1,19,1,49.6659,55.5843,56.6
5,25,16,113,5,1.0,4.0,5.28899,1.0,16,1,19,1,62.616,67.905,68.9204
6,25,16,70,6,1.0,5.0,6.7187,1.0,16,1,19,1,73.9401,80.6588,81.6749
7,30,18,67,4,1.0,6.0,17.2091,2.0,16,1,19,1,87.69,104.899,105.915
8,25,19,20,4,1.0,7.0,6.53496,2.0,16,1,19,1,109.934,116.469,117.485
9,30,21,171,4,1.0,8.0,4.30022,1.0,16,1,19,1,121.505,125.805,126.82
10,35,25,4,5,1.0,9.0,3.45496,2.0,16,1,19,1,130.836,134.291,135.307
11,35,30,3,4,1.0,10.0,3.1844,2.0,16,1,19,1,140.325,143.51,144.526
12,35,32,59,4,1.0,11.0,7.03953,1.0,16,1,19,1,148.541,155.581,156.596
13,35,30,42,5,1.0,12.0,5.42217,1.0,16,1,19,1,160.611,166.034,167.049
14,30,15,158,6,1.0,13.0,2.85486,1.0,16,1,19,1,172.065,174.919,175.935
15,35,31,129,4,1.0,14.0,2.92168,1.0,16,1,19,1,181.951,184.872,185.888
16,35,13,27,4,1.0,15.0,7.67312,2.0,16,1,19,1,189.903,197.576,198.592
17,25,17,9,4,1.0,16.0,6.42528,2.0,16,1,19,1,202.607,209.032,210.045
