TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,11.2717,2.0,Rej_14,1,26,F,2.01769,13.2894,14.3049
2,30,11,11,4,1.0,1.0,8.0356,1.0,Rej_14,1,26,F,20.3249,28.3605,29.3743
3,30,12,38,4,1.0,2.0,5.68913,1.0,Rej_14,1,26,F,33.3912,39.0803,40.1069
4,35,12,76,6,1.0,3.0,6.53555,1.0,Rej_14,1,26,F,44.1315,50.667,51.6819
5,25,16,113,5,1.0,4.0,12.3206,1.0,Rej_14,1,26,F,57.7022,70.0227,71.0412
6,25,16,70,6,1.0,5.0,14.1044,1.0,Rej_14,1,26,F,76.0742,90.1786,91.196
7,30,18,67,4,1.0,6.0,14.4546,1.0,Rej_14,1,26,F,97.2137,111.668,112.692
8,25,19,20,4,1.0,7.0,8.23547,2.0,Rej_14,1,26,F,116.72,124.955,125.968
9,30,21,171,4,1.0,8.0,7.68537,1.0,Rej_14,1,26,F,129.991,137.676,138.697
10,35,25,4,5,1.0,9.0,13.3583,1.0,Rej_14,1,26,F,142.723,156.081,157.105
11,35,30,3,4,1.0,10.0,3.57159,2.0,Rej_14,1,26,F,162.129,165.701,166.714
12,35,32,59,4,1.0,11.0,9.10689,1.0,Rej_14,1,26,F,170.731,179.838,180.863
13,35,30,42,5,1.0,12.0,12.6914,1.0,Rej_14,1,26,F,184.886,197.577,198.6
14,30,15,158,6,1.0,13.0,5.53945,1.0,Rej_14,1,26,F,203.624,209.164,210.191
15,35,31,129,4,1.0,14.0,8.10675,1.0,Rej_14,1,26,F,216.211,224.318,225.338
16,35,13,27,4,1.0,15.0,4.15495,2.0,Rej_14,1,26,F,229.365,233.52,234.542
17,25,17,9,4,1.0,16.0,4.43893,2.0,Rej_14,1,26,F,238.568,243.007,244.027
