TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.17267,2,15,1,18,1,2.03032,5.20299,6.21822
2,30,11,11,4,1,1,4.55117,2,15,1,18,1,12.238,16.7892,17.8056
3,30,12,38,4,1,2,1.9381,1,15,1,18,1,21.8203,23.7584,24.7738
4,35,12,76,6,1,3,1.45445,1,15,1,18,1,28.7892,30.2436,31.2591
5,25,16,113,5,1,4,1.61782,1,15,1,18,1,37.2784,38.8962,39.9114
6,25,16,70,6,1,5,1.55466,1,15,1,18,1,44.927,46.4817,47.4976
7,30,18,67,4,1,6,1.50467,1,15,1,18,1,53.5128,55.0175,56.033
8,25,19,20,4,1,7,1.60471,1,15,1,18,1,60.0481,61.6528,62.6682
9,30,21,171,4,1,8,2.97106,1,15,1,18,1,66.684,69.6551,70.6704
10,35,25,4,5,1,9,1.20446,1,15,1,18,1,74.6858,75.8902,76.9057
11,35,30,3,4,1,10,8.83653,2,15,1,18,1,81.9247,90.7612,91.7772
12,35,32,59,4,1,11,1.60076,1,15,1,18,1,95.7963,97.3971,98.4124
13,35,30,42,5,1,12,1.83809,1,15,1,18,1,102.427,104.265,105.281
14,30,15,158,6,1,13,3.33849,1,15,1,18,1,110.296,113.635,114.65
15,35,31,129,4,1,14,1.65092,1,15,1,18,1,120.67,122.32,123.336
16,35,13,27,4,1,15,7.8732,1,15,1,18,1,127.351,135.224,136.24
17,25,17,9,4,1,16,3.80536,1,15,1,18,1,140.255,144.06,145.076
TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,2.3084,2,15,2,18,1,2.0446,4.353,5.36634
2,30,11,11,4,1,1,1.69953,1,15,2,18,1,11.3891,13.0886,14.1072
3,30,12,38,4,1,2,1.40366,1,15,2,18,1,18.1369,19.5406,20.5655
4,35,12,76,6,1,3,1.29674,1,15,2,18,1,24.5796,25.8763,26.899
5,25,16,113,5,1,4,1.53086,1,15,2,18,1,32.9141,34.445,35.4633
6,25,16,70,6,1,5,1.06293,1,15,2,18,1,40.4842,41.5471,42.5612
7,30,18,67,4,1,6,1.23729,1,15,2,18,1,48.5793,49.8165,50.8292
8,25,19,20,4,1,7,1.50383,1,15,2,18,1,54.8477,56.3516,57.3655
9,30,21,171,4,1,8,1.47063,1,15,2,18,1,61.3837,62.8543,63.8707
10,35,25,4,5,1,9,1.22135,1,15,2,18,1,67.8849,69.1062,70.1262
11,35,30,3,4,1,10,1.78508,1,15,2,18,1,75.1568,76.9419,77.9607
12,35,32,59,4,1,11,1.3043,1,15,2,18,1,81.9892,83.2935,84.3099
13,35,30,42,5,1,12,1.53812,1,15,2,18,1,88.3243,89.8625,90.8774
14,30,15,158,6,1,13,1.47118,1,15,2,18,1,95.8936,97.3647,98.3809
15,35,31,129,4,1,14,0.92112,1,15,2,18,1,104.396,105.317,106.337
16,35,13,27,4,1,15,1.08793,1,15,2,18,1,110.364,111.452,112.468
17,25,17,9,4,1,16,0.821223,1,15,2,18,1,116.483,117.304,118.317
